"gid";"id_grid";"dir";"coor";"x";"y"
167;324;"A 5D O 49 O 09";"3.465735472951,-76.589885886611";-76.589885886611;3.465735472951
168;324;"C 49A O 5A O 27";"3.4657495858,-76.589736484778";-76.589736484778;3.4657495858
169;324;"A 5E O 49 O 13";"3.465666512811,-76.589512134873";-76.589512134873;3.465666512811
170;324;"A 5D O 50 O 03 0200";"3.465858903965,-76.589673209827";-76.589673209827;3.465858903965
171;324;"C 50 O 5D O 21";"3.46634800542,-76.590015975406";-76.590015975406;3.46634800542
172;324;"C 50 O 5D O 32";"3.466088073739,-76.589810257411";-76.589810257411;3.466088073739
173;324;"C 49 O 5A O 21";"3.465633211887,-76.58983040457";-76.58983040457;3.465633211887
174;324;"C 50 O 5D O 33";"3.466352962944,-76.589866721486";-76.589866721486;3.466352962944
175;324;"C 48B O 5E O 05  1";"3.465575034317,-76.589191814672";-76.589191814672;3.465575034317
176;324;"C 50 O 5D O 28";"3.466137422599,-76.589878818884";-76.589878818884;3.466137422599
177;324;"C 50 O 5D O 10";"3.466173709657,-76.58999075711";-76.58999075711;3.466173709657
178;324;"A 5D O 49 O 27";"3.465876250933,-76.590028674527";-76.590028674527;3.465876250933
179;324;"A 5D O 49 O 21";"3.465829984548,-76.589984265443";-76.589984265443;3.465829984548
180;324;"A 5D O 49 O 15";"3.465781864467,-76.589941735976";-76.589941735976;3.465781864467
181;324;"A 5E O 48B O 21";"3.465477446775,-76.589410736345";-76.589410736345;3.465477446775
182;324;"A 5E O 48B O 04";"3.465703234524,-76.589279087165";-76.589279087165;3.465703234524
183;324;"C 49 O 5D O 03";"3.46560192124,-76.589473981562";-76.589473981562;3.46560192124
184;357;"A 5C O 46 O 45";"3.463155087265,-76.588291210787";-76.588291210787;3.463155087265
185;357;"A 5A O 46 O 44";"3.463081976316,-76.588262068528";-76.588262068528;3.463081976316
186;357;"A 5A O 46 O 50";"3.463111187751,-76.588314908161";-76.588314908161;3.463111187751
187;357;"A 5A O 46 O 38";"3.463037904516,-76.588222602939";-76.588222602939;3.463037904516
188;357;"A 5A O 46 O 56";"3.46319965567,-76.588381368728";-76.588381368728;3.46319965567
189;357;"A 5A O 46 O 32";"3.46302946363,-76.588166142564";-76.588166142564;3.46302946363
190;357;"A 5A O 46 O 62";"3.463253050812,-76.588429739377";-76.588429739377;3.463253050812
191;358;"C 47 O 5B O 03";"3.464046524058,-76.588857894267";-76.588857894267;3.464046524058
