x;Y
-76,58547452;3,460224187
-76,58546161;3,460886196
-76,5854431;3,460854833
-76,58543396;3,460117532
-76,58543045;3,45993119
-76,58542594;3,460201582
-76,5853986;3,46065246
-76,58539826;3,460138806
-76,58539779;3,460138284
-76,58537775;3,460165293
-76,58534053;3,460824359
-76,58530355;3,460795725
-76,58528635;3,4603072
-76,58526389;3,46070367
-76,58526198;3,460555773
-76,58525634;3,460734265
-76,5852458;3,460366413
-76,58524495;3,460775285
-76,58517486;3,460323487
-76,58514436;3,46025411
-76,58513692;3,460616549
-76,58511191;3,460546914
-76,58511166;3,459818652
-76,58511063;3,460551475
-76,5851095;3,460698259
-76,58509147;3,460238691
-76,58508334;3,460443944
-76,58507421;3,460334218
-76,58498705;3,459240542
-76,58497232;3,460324112
-76,5849574;3,459656822
-76,58493942;3,460661938
-76,58492699;3,460213955
-76,5849054;3,459216995
-76,58485955;3,460198002
-76,58482718;3,459139079
-76,5848271;3,46044814
-76,58480188;3,460177216
-76,5847501;3,459038951
-76,58473554;3,46041302
-76,58469262;3,460237646
-76,58466081;3,458945641
-76,58464428;3,459565887
-76,58462074;3,459616464
-76,58460503;3,460456157
-76,58460462;3,460455164
-76,58460292;3,460209402
-76,58457226;3,459715765
-76,58456783;3,459719454
-76,58455635;3,458912429
-76,58452652;3,459779111
-76,58451978;3,460417992
-76,58451543;3,458528905
-76,58448538;3,460189265
-76,58448383;3,460176375
-76,5844679;3,459826151
-76,58443491;3,458934447
-76,58443222;3,458410914
-76,58442607;3,45893085
-76,58441423;3,458586655
-76,5844075;3,460368139
-76,58440479;3,459863892
-76,58440079;3,45905268
-76,58438922;3,459239706
-76,58436895;3,458618555
-76,58436126;3,459928906
-76,58433875;3,45867884
-76,58432832;3,459385067
-76,58431409;3,460127837
-76,58429725;3,458705633
-76,58426008;3,459953355
-76,58425693;3,458573503
-76,58425372;3,458737075
-76,58424949;3,460296881
-76,58422881;3,458455787
-76,5842057;3,459626105
-76,58418906;3,458477535
-76,58418777;3,459853564
-76,5841492;3,460067821
-76,58414734;3,458501143
-76,58414727;3,458945117
-76,58414474;3,458942389
-76,58413132;3,458254529
-76,58412322;3,45815032
-76,58411413;3,458789188
-76,58410864;3,458393824
-76,58409945;3,459775491
-76,58409787;3,45853967
-76,58407889;3,457828847
-76,58407482;3,460218247
-76,58406814;3,458025166
-76,58404456;3,458024975
-76,5840371;3,459705967
-76,58402987;3,458014153
-76,58401455;3,458002724
-76,58399522;3,457987545
-76,58397491;3,459228487
-76,58396182;3,457964798
-76,58393743;3,460058981
-76,58392654;3,459422311
-76,5839152;3,457939068
-76,58390638;3,459036722
-76,58389573;3,459569239
-76,58389308;3,458849016
-76,58387445;3,457916811
-76,58384437;3,45790388
-76,58383546;3,457902355
-76,58381227;3,459855318
-76,58379919;3,457882848
-76,58378583;3,459049562
-76,58378138;3,45968733
-76,58377266;3,457847719
-76,58374117;3,457820774
-76,58373108;3,459045551
-76,58371193;3,459540282
-76,5837117;3,45779021
-76,5837067;3,459468946
-76,58370193;3,459390168
-76,58368928;3,459224941
-76,58367467;3,457760405
-76,58363775;3,457738976
-76,58359802;3,457724015
-76,583563;3,457689896
-76,58354222;3,45894987
-76,58353463;3,458978101
-76,5835088;3,457674319
-76,58349866;3,458622497
-76,58349656;3,458669434
-76,58347142;3,457645329
-76,58346251;3,458232608
-76,58345308;3,458644028
-76,58344452;3,458544901
-76,58344233;3,457605217
-76,58343791;3,458448614
-76,58339924;3,457576431
-76,58325407;3,458069668
-76,58316114;3,457919301
-76,58244166;3,456765655
-76,582291;3,456498722
-76,58223895;3,456148543
-76,58208514;3,45613574
-76,58206564;3,456164618
-76,58201363;3,45614254
-76,58201147;3,45613904
-76,58196081;3,456267205
-76,581922;3,456325667
-76,58161036;3,455942255
-76,58160565;3,456234295
-76,58160544;3,456337646
-76,581575;3,455988781
-76,58155196;3,456020079
-76,58153507;3,456042374
-76,5815229;3,455957345
-76,58152182;3,456309315
-76,58151164;3,456073235
-76,58148426;3,456109602
-76,58146785;3,456148202
-76,58146759;3,45614788
-76,58145948;3,456042893
-76,58144176;3,456168062
-76,58143267;3,456122824
-76,58143233;3,456122704
-76,58143197;3,456080174
-76,58143043;3,456184693
-76,58141885;3,456119678
-76,58141402;3,456206052
-76,58139027;3,456228166
-76,58138926;3,456105516
-76,5813836;3,456143934
-76,58136581;3,456169433
-76,58128318;3,456207675
-76,58127992;3,456140868
-76,58122211;3,456111829
-76,58121156;3,45617345
-76,58116591;3,456082327
-76,58114701;3,456142579
-76,58110937;3,456054005
-76,58108834;3,456116115
-76,58035535;3,455547306
-76,58034963;3,455549464
-76,58024097;3,455493262
-76,58018435;3,455460197
-76,58014614;3,455401485
-76,58009316;3,455322798
-76,58004001;3,455999891
-76,57999942;3,455284749
-76,57999238;3,455285602
-76,57994333;3,455936362
-76,57990907;3,455405511
-76,57989546;3,455240218
-76,57982779;3,455184622
-76,57978228;3,455125964
-76,57978029;3,455122362
-76,57973432;3,455817637
-76,57972666;3,455069538
-76,57971742;3,455760024
-76,57971367;3,455758292
-76,5796927;3,455742643
-76,57967802;3,455905546
-76,5796721;3,455719266
-76,57967153;3,45571868
-76,57965692;3,455021473
-76,57964615;3,455699319
