"gid";"id_grid";"dir";"coor";"x";"y"
8139;3051;"C 12E O 53 1 28";"3.419218848313,-76.565520903275";-76.565520903275;3.419218848313
8140;3051;"C 12E O 53 1 24";"3.419351055696,-76.56560278068";-76.56560278068;3.419351055696
8141;3051;"C 12E O 53 1 13";"3.419157150197,-76.565002592267";-76.565002592267;3.419157150197
8142;3051;"C 12E O 53 1 18";"3.419233557399,-76.56515894654";-76.56515894654;3.419233557399
8143;3051;"C 12E O 53 1 02";"3.419294604566,-76.565036868346";-76.565036868346;3.419294604566
8144;3051;"C 12E O 53 1 03";"3.419173765103,-76.564924933648";-76.564924933648;3.419173765103
8145;3051;"C 12E O 53 16";"3.419516744194,-76.565255679185";-76.565255679185;3.419516744194
8146;3051;"C 12E O 53 09";"3.41919018073,-76.564887109803";-76.564887109803;3.41919018073
8147;3051;"C 12E O 53 1 20";"3.419431502489,-76.565589369748";-76.565589369748;3.419431502489
8148;3051;"C 12E O 53 1 16";"3.419335120913,-76.565497632436";-76.565497632436;3.419335120913
8149;3051;"C 12E O 53 1 19";"3.419259793312,-76.565614106573";-76.565614106573;3.419259793312
8150;3051;"C 12E O 53 1 19 0100";"3.419187178094,-76.565619026115";-76.565619026115;3.419187178094
8151;3051;"K 53B 12C O 03";"3.418886353,-76.565389991892";-76.565389991892;3.418886353
8152;3051;"K 53B 12B O 14";"3.419165320233,-76.565781778641";-76.565781778641;3.419165320233
8153;3051;"K 53B 12B O 25";"3.418858827731,-76.565338428989";-76.565338428989;3.418858827731
8154;3051;"C 12E O 53 1 15";"3.419131893633,-76.565481674831";-76.565481674831;3.419131893633
8155;3051;"K 53 1 12E O 30";"3.419705782145,-76.565437335655";-76.565437335655;3.419705782145
8156;3051;"K 53 1 12E O 10";"3.419431900306,-76.565037459927";-76.565037459927;3.419431900306
8157;3051;"K 53 1 12E O 07";"3.419338012096,-76.56512631387";-76.56512631387;3.419338012096
8158;3051;"K 53 1 12E O 03";"3.419461255989,-76.565315410736";-76.565315410736;3.419461255989
8159;3051;"K 53 1 12E O 13";"3.419533016288,-76.565482478551";-76.565482478551;3.419533016288
8160;3051;"K 53 1 12E O 14";"3.41962867836,-76.565381706437";-76.565381706437;3.41962867836
8161;3051;"K 53 1 12E O 13";"3.419381204601,-76.565168663954";-76.565168663954;3.419381204601
8162;3051;"K 53 1 12E O 25";"3.41958046806,-76.56560132609";-76.56560132609;3.41958046806
8163;3051;"K 53 12E O 02";"3.419177222905,-76.56522726224";-76.56522726224;3.419177222905
8164;3051;"K 53 1 12E O 34";"3.419692774134,-76.565522764345";-76.565522764345;3.419692774134
8165;3051;"K 53 1 12E O 21";"3.419424011268,-76.565381646431";-76.565381646431;3.419424011268
8166;3051;"C 12E O 53 05";"3.419230935435,-76.565352738425";-76.565352738425;3.419230935435
8167;3051;"C 12E O 53 1 11";"3.419197145657,-76.56540847976";-76.56540847976;3.419197145657
8168;3051;"C 12E O 53 1 07";"3.419228657832,-76.565348092892";-76.565348092892;3.419228657832
8169;3051;"C 12E O 53 1 06";"3.419419179449,-76.565364293182";-76.565364293182;3.419419179449
8170;3051;"C 12E O 53 1 05";"3.419228657832,-76.565348092892";-76.565348092892;3.419228657832
8171;3051;"C 12E O 53 1 03";"3.419316024417,-76.56526478171";-76.56526478171;3.419316024417
8172;3051;"K 53 1 12E O 15";"3.419422735085,-76.56521756673";-76.56521756673;3.419422735085
8173;3051;"C 12E O 53 07";"3.418841029314,-76.565180197741";-76.565180197741;3.418841029314
8174;3051;"K 53 12E O 03";"3.419458927473,-76.565314168755";-76.565314168755;3.419458927473
8175;3051;"K 53 12E O 06";"3.419148123986,-76.565325722345";-76.565325722345;3.419148123986
8176;3051;"C 12E O 53 1 12";"3.419379119504,-76.565426571403";-76.565426571403;3.419379119504
8177;3051;"C 12F O 53 1 14";"3.419500993421,-76.565873287044";-76.565873287044;3.419500993421
8178;3051;"C 12F O 53 1 22";"3.419282219189,-76.565807465968";-76.565807465968;3.419282219189
8179;3051;"C 12F O 53 1 18";"3.41943657554,-76.565851645589";-76.565851645589;3.41943657554
8180;3051;"C 12F O 53 1 13";"3.419401645532,-76.565683598819";-76.565683598819;3.419401645532
8181;3051;"C 12F O 53 1 10";"3.41955611713,-76.565889895875";-76.565889895875;3.41955611713
8182;3051;"C 12F O 53 1 07";"3.419532619928,-76.565735254984";-76.565735254984;3.419532619928
8183;3051;"C 12F O 53 1 20";"3.419371845778,-76.565836468255";-76.565836468255;3.419371845778
8184;3051;"K 53 12C O 16";"3.419061812065,-76.565013824471";-76.565013824471;3.419061812065
8185;3051;"K 53 12C O 09";"3.418923784711,-76.565044527083";-76.565044527083;3.418923784711
8186;3051;"K 53 12C O 04";"3.419025294763,-76.564942112407";-76.564942112407;3.419025294763
